Date Time,Ambient,Internal,External
27/06/2022 11:00,,,10.1
27/06/2022 11:04,,9.3,
27/06/2022 11:07,8.9,,
27/06/2022 11:10,,,8.5
27/06/2022 11:14,,7.8,
27/06/2022 11:17,7.4,,
27/06/2022 11:20,,,7.1
27/06/2022 11:24,,6.4,
27/06/2022 11:27,6.2,,
27/06/2022 11:30,,,5.8
27/06/2022 11:34,,5.2,
27/06/2022 11:37,5.2,,
27/06/2022 11:40,,,7.7
27/06/2022 11:44,,10.6,
27/06/2022 11:47,20.1,,
27/06/2022 11:50,,,34.4
27/06/2022 11:54,,11.3,
27/06/2022 11:57,31.5,,
27/06/2022 12:00,,,36.8
27/06/2022 12:04,,9.6,
27/06/2022 12:07,35.6,,
27/06/2022 12:10,,,36.9
27/06/2022 12:14,,8.3,
27/06/2022 12:17,36.5,,
27/06/2022 12:20,,,36.9
27/06/2022 12:24,,7.1,
27/06/2022 12:27,37.2,,
27/06/2022 12:30,,,39.5
27/06/2022 12:34,,5.9,
27/06/2022 12:37,37.9,,
27/06/2022 12:40,,,39.2
27/06/2022 12:43,,5,
27/06/2022 12:47,37.9,,
27/06/2022 12:50,,,38.5
27/06/2022 12:53,,5.8,
27/06/2022 12:57,37.7,,
27/06/2022 13:00,,,38.8
27/06/2022 13:03,,5.3,
27/06/2022 13:07,38.6,,
27/06/2022 13:10,,,40.7
27/06/2022 13:13,,6.8,
27/06/2022 13:17,39.3,,
27/06/2022 13:20,,,39.2
27/06/2022 13:23,,6.2,
27/06/2022 13:27,39.4,,
27/06/2022 13:30,,,38.9
27/06/2022 13:33,,5.6,
27/06/2022 13:37,39.8,,
27/06/2022 13:40,,,38
27/06/2022 13:43,,5.1,
27/06/2022 13:47,39.9,,
27/06/2022 13:50,,,37.3
27/06/2022 13:53,,6.2,
27/06/2022 13:57,39.3,,
27/06/2022 14:00,,,37.5
27/06/2022 14:03,,6.3,
27/06/2022 14:07,39,,
27/06/2022 14:10,,,37
27/06/2022 14:13,,5.9,
27/06/2022 14:17,38.1,,
27/06/2022 14:20,,,36
27/06/2022 14:23,,5.3,
27/06/2022 14:27,38.2,,
27/06/2022 14:30,,,35.7
27/06/2022 14:33,,5.8,
27/06/2022 14:37,38,,
27/06/2022 14:40,,,35.5
27/06/2022 14:43,,5.6,
27/06/2022 14:47,37.6,,
27/06/2022 14:50,,,35.3
27/06/2022 14:53,,8.7,
27/06/2022 14:57,37.4,,
27/06/2022 15:00,,,36.8
27/06/2022 15:03,,7.4,
27/06/2022 15:07,37.8,,
27/06/2022 15:10,,,38.3
27/06/2022 15:13,,6.7,
27/06/2022 15:17,38.1,,
27/06/2022 15:20,,,35.1
27/06/2022 15:23,,5.8,
27/06/2022 15:27,37.8,,
27/06/2022 15:30,,,35.1
27/06/2022 15:33,,6.1,
27/06/2022 15:37,36.8,,
27/06/2022 15:40,,,33.6
27/06/2022 15:43,,7.3,
27/06/2022 15:47,36.6,,
27/06/2022 15:50,,,33
27/06/2022 15:53,,6,
27/06/2022 15:57,36.3,,
27/06/2022 16:00,,,33.8
27/06/2022 16:03,,5.2,
27/06/2022 16:07,35.5,,
27/06/2022 16:10,,,34
27/06/2022 16:13,,5.5,
27/06/2022 16:17,35.7,,
27/06/2022 16:20,,,33.9
27/06/2022 16:23,,7.9,
27/06/2022 16:27,35.2,,
27/06/2022 16:30,,,33.3
27/06/2022 16:33,,6.8,
27/06/2022 16:37,34.3,,
27/06/2022 16:40,,,34.7
27/06/2022 16:43,,5.8,
27/06/2022 16:47,34.5,,
27/06/2022 16:50,,,34.8
27/06/2022 16:53,,5.2,
27/06/2022 16:57,35.1,,
27/06/2022 17:00,,,34.9
27/06/2022 17:03,,5.9,
27/06/2022 17:07,35.4,,
27/06/2022 17:10,,,34.9
27/06/2022 17:13,,5.5,
27/06/2022 17:17,35.8,,
27/06/2022 17:20,,,34.6
27/06/2022 17:23,,7.9,
27/06/2022 17:27,36,,
27/06/2022 17:30,,,34.4
27/06/2022 17:33,,6.4,
27/06/2022 17:37,35.3,,
27/06/2022 17:40,,,34.4
27/06/2022 17:43,,5.3,
27/06/2022 17:47,34.1,,
27/06/2022 17:50,,,34.4
27/06/2022 17:53,,5.8,
27/06/2022 17:57,33.4,,
27/06/2022 18:00,,,35.4
27/06/2022 18:03,,5.1,
27/06/2022 18:07,32.9,,
27/06/2022 18:10,,,36.2
27/06/2022 18:13,,5.6,
27/06/2022 18:17,33.2,,
27/06/2022 18:20,,,35.6